First Last,First,Last,Company,Domain
Marissa Webb,Marissa,Webb,Marissa Webb,www.marissa-webb.com
Ben Goorin,Ben,Goorin,"Goorin Bros., Inc.",www.goorin.com
Richard Ezra,Richard,Ezra,Orchard Yarn And Thread Company Inc.,www.lionbrand.com
Saul Cohen,Saul,Cohen,Necessary Clothing,www.necessaryclothing.com
Deirdre Quinn,Deirdre,Quinn,Lafayette 148 New York Inc.,www.lafayette148ny.com
Jay Sweet,Jay,Sweet,Boyd Lighting Fixture Co.,www.boydlighting.com
Erica Holden Lurie,Erica,Lurie,Garnish,www.garnishapparel.com
David Gormley,David,Gormley,"Zephyr Graf-X, Inc.",www.zhats.com
Angelique Schaldach,Angelique,Schaldach,Beach Bunny Swimwear,www.beachbunnyswimwear.com
Courtney Strong,Courtney,Strong,lemlem,www.lemlem.com
Suzanne Blake Gerety,Suzanne,Gerety,Revolution Dancewear LLC,www.revolutiondance.com
Carolyn Sarnecki,Carolyn,Sarnecki,"HippyTree, LLC",www.hippytree.com
Paul Hedrick,Paul,Hedrick,"Tecovas, Inc.",www.tecovasboots.com
Mike Cirker,Mike,Cirker,"Alpha Industries, Inc.",www.alphaindustries.com
Merlin Clarke,Merlin,Clarke,Dogeared Inc.,www.dogeared.com
Rob Kurson,Rob,Kurson,Ame & Lulu,www.ameandlulu.com
Gregorio Hanimian,Gregorio,Hanimian,Luli Fama,www.lulifama.com
Amanda Jane Thomas,Amanda,Thomas,Amanda Jane Thomas,www.luvaj.com
Molly Hopkins,Molly,Hopkins,"Livirae Lingerie, Llc",www.liviraelingerie.com
Robin Gale,,,"Mainstream Fashions Franchising, Inc.",www.mainstreamboutique.com
