First Last,First,Last,Company,Domain
Tracy Elizabeth Puhl,Tracy,Puhl,GladRags,www.gladrags.com
Sally Bergesen,Sally,Bergesen,Oiselle Running Inc.,www.oiselle.com
Andrew Rademacher,Andrew,Rademacher,Stem Footwear Inc.,www.lemsshoes.com
Evan Mendelsohn,Evan,Mendelsohn,"Tipsy Elves, Llc",www.tipsyelves.com
Jennifer Gerstenfeld Argenti,Jennifer,Argenti,Charlotte Brody,www.charlottebrody.com
Dan Genco,Dan,Genco,Shwood Limited,www.shwoodshop.com
Zachary Quinn,Zachary,Quinn,Love Your Melon Inc.,www.loveyourmelon.com
Helen Rockey,Helen,Rockey,"SKR International, LLC",www.seekairun.com
Adam Francis,Adam,Francis,"Sun Bum, Llc",www.trustthebum.com
Allison Davidson Motoyama,Allison,Motoyama,Dona Bela Shreds,www.donabelashreds.com
Dean Jones,Dean,Jones,Glam Corner Pty Ltd,www.glamcorner.com.au
Jenna Elliot,Jenna,Elliot,Free Fly Apparel,www.freeflyapparel.com
Tamara Fluhr Gates,Tamara,Gates,"Michael's, The Consignment Shop for Women",www.michaelsconsignment.com
Christian Black,Christian,Black,Half United,www.halfunited.com
Jennifer Ferguson,Jennifer,Ferguson,Handful Activewear,www.handful.com
Melissa Mash,Melissa,Mash,18th and Walnut LLC,www.dagnedover.com
Naomi Gonzalez,Naomi,Gonzalez,Tomboy Exchange Inc.,www.tomboyx.com
Beatrice Amelle Amblard,Beatrice,Amblard,April in Paris,www.aprilinparis.us
Ken Gold,Ken,Gold,LikeWear,www.likewear.com
Rex Bledsoe,,,Aqua Design,www.aquadesign.com
